round/node,0,1,2,3,4,5,6,7,num_shards,changes,divides
0,1166989,80321,45327,33340,25825,21518,18499,15976,8000,,
5,6410595,443038,249803,179404,142793,117501,98321,86975,8000,,
10,6302239,431004,246461,175828,137757,114223,98982,83288,8000,,
15,1850959,826455,827492,828906,827785,828057,828128,825096,8000,999,
20,1891633,846038,845371,841325,847729,843959,839845,842408,8000,,
25,1883756,837958,834815,842667,836936,838815,839790,838549,8000,,
30,1894835,846541,840370,840028,844063,846648,847735,845189,8000,0,
35,1864669,835878,827614,835103,831883,831464,837317,830786,8000,,
40,1890724,844218,842760,844364,842925,835550,836759,844089,8000,,
45,1889161,847961,841448,846858,841683,842502,845912,842334,8000,0,
50,1876807,841657,840647,840871,847441,842185,843024,846712,8000,,
55,1888370,847270,835538,838255,839393,837447,840720,839812,8000,,
60,1892674,846479,842533,848085,844387,841096,847789,840942,8000,0,
