round/node,0,1,2,3,4,5,6,7,num_shards,changes,divides
0,959277,69368,40239,29144,22477,18431,16030,13713,32768,,
5,5264042,383528,222211,157485,123483,100684,83765,73659,32768,,
10,5122973,367661,217879,152889,117985,96817,83153,70889,32768,,
15,826143,797977,806636,804111,801769,805355,805601,803271,32768,4095,
20,843736,810960,814519,815051,818630,810320,812942,813895,32768,,
25,848754,821564,819190,820495,821772,820923,818754,822679,32768,,
30,838640,805138,808761,809908,807415,807407,806602,807930,32768,0,
35,830502,801849,800349,809723,805732,804206,814054,812128,32768,,
40,829208,807162,803181,807246,805439,801720,798947,803624,32768,,
45,834997,801207,803367,804304,798573,801090,797483,801111,32768,0,
50,843339,816245,820109,824900,821634,820923,820164,823466,32768,,
55,848668,822923,818205,830604,820510,822874,812830,828018,32768,,
60,841385,815354,816399,820675,821097,814591,815397,821591,32768,0,
